"well","plate","replc","comp","c.len","abs.m","abs.sd","C","E","M","P","S","T","sd.C","sd.E","sd.M","sd.P","sd.S","sd.T","Vj.fit","se"
"D03","A","2","E-S",2,0.129975,0.00756306816047561,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.38529816487041,0.0738498512300494
"D05","A","1","C-E-T",3,0.307125,0.0475468190313506,166666.67,166666.67,NA,NA,666666.67,NA,166666.67,166666.67,NA,NA,333333.33,NA,10.12096222362,0.539914412568263
"D05","A","2","C-E-T",3,0.119775,0.00758287544405156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.12096222362,0.539914412568263
"D07","A","1","E-S-T",3,0.167525,0.0211494680784175,NA,2e+05,NA,NA,2600000,6400000,NA,2e+05,NA,NA,721110.26,1131370.85,12.030689941714,0.618418419031017
"D07","A","2","E-S-T",3,0.115975,0.0120706255016051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.030689941714,0.618418419031017
"D09","A","1","C-E-P-T",4,0.163725,0.0161462069849237,2400000,4e+05,NA,7600000,NA,11400000,692820.32,282842.71,NA,1232882.8,NA,1509966.89,15.2965811598122,1.08113155888112
"D09","A","2","C-E-P-T",4,0.163375,0.0018165902124585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2965811598122,1.08113155888112
"E01","A","1","P",1,-0.008075,0,NA,NA,NA,750,NA,NA,NA,NA,NA,433.0127,NA,NA,0.339957610763573,0.128840164092509
"E01","A","2","P",1,-0.002825,0.000894427190999913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.339957610763573,0.128840164092509
"E02","A","1","C-S",2,0.399125,0.0373121963974248,3500000,NA,NA,NA,767500000,NA,2715695.12210491,NA,NA,NA,43803538.67,NA,1.95347598657458,0.069093430194144
"E02","A","2","C-S",2,0.308375,0.0236495243081124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.95347598657458,0.069093430194144
"E03","A","1","E-T",2,0.152525,0.0142583308981101,NA,5e+05,NA,NA,NA,2875000,NA,353553.39,NA,NA,NA,2657536.4535683,11.278371350314,0.624101148595879
"E03","A","2","E-T",2,0.134375,0.00626897120746299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.278371350314,0.624101148595879
"E03","B","1","E-M-P-S-T",5,0.194725,0.0215336945274145,NA,20000,0,2800000,10200000,0,NA,20000,0,748331.48,1428285.69,0,37.2815582284598,0.988147816107647
"E03","B","2","E-M-P-S-T",5,0.172775,0.00678232998312527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.2815582284598,0.988147816107647
"E04","A","1","S-T",2,0.161525,0.0355921339624361,NA,NA,NA,NA,250000,6400000,NA,NA,NA,NA,250000,1705872.21348693,11.4287393863939,0.588024485271409
"E04","A","2","S-T",2,0.185375,0.0206349218559218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.4287393863939,0.588024485271409
"F01","A","1","S",1,0.227725,0.00903880523078134,NA,NA,NA,NA,63750000,NA,NA,NA,NA,NA,3992179.86,NA,1.49481754514853,0.0561185978486826
"F01","A","2","S",1,0.176775,0.00406201920231798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.49481754514853,0.0561185978486826
"F02","A","1","C-T",2,0.121125,0.00589067059000925,5e+05,NA,NA,NA,NA,1e+07,353553.39,NA,NA,NA,NA,1581138.83,8.58407879511591,1.27108977684671
"F02","A","2","C-T",2,0.090175,0.00114017542509914,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.58407879511591,1.27108977684671
"F03","A","1","M-P",2,0.052325,0.00456070170039655,NA,NA,2500000,18375000,NA,NA,NA,NA,790569.42,6552671.21271904,NA,NA,22.5361088984472,3.1256350813194
"F03","A","2","M-P",2,0.051175,0.000894427190999917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.5361088984472,3.1256350813194
"F04","A","1","M-P-S",3,0.220525,0.0327612576071188,NA,NA,NA,4.9e+07,185500000,NA,NA,NA,NA,3500000,6809919.24,NA,24.1573193175668,1.64381495018283
"F04","A","2","M-P-S",3,0.139775,0.00158113883008419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.1573193175668,1.64381495018283
"G01","A","1","T",1,0.090125,0.00148323969741913,NA,NA,NA,NA,NA,2912500,NA,NA,NA,NA,NA,994673.316679809,7.97124445026975,0.203194710922311
"G01","A","2","T",1,0.086775,0.000707106781186548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.97124445026975,0.203194710922311
